start_station_name,end_station_name,trips,start_lat,start_lng,end_lat,end_lng
Central Park S & 6 Ave,Central Park S & 6 Ave,12041,40.76591,-73.97634,40.76591,-73.97634
7 Ave & Central Park South,7 Ave & Central Park South,8541,40.76674,-73.97907,40.76674,-73.97907
Roosevelt Island Tramway,Roosevelt Island Tramway,8213,40.757282,-73.9536,40.757282,-73.9536
Grand Army Plaza & Central Park S,Grand Army Plaza & Central Park S,7287,40.764397,-73.97372,40.764397,-73.97372
Soissons Landing,Soissons Landing,7275,40.692318,-74.01486,40.692318,-74.01486
W 21 St & 6 Ave,9 Ave & W 22 St,6345,40.74174,-73.994156,40.7455,-74.00197
5 Ave & E 72 St,5 Ave & E 72 St,6037,40.772827,-73.96685,40.772827,-73.96685
1 Ave & E 62 St,1 Ave & E 68 St,5826,40.761227,-73.96094,40.765007,-73.95818
Yankee Ferry Terminal,Yankee Ferry Terminal,5759,40.687065,-74.016754,40.687065,-74.016754
Broadway & W 58 St,Broadway & W 58 St,5509,40.766953,-73.9817,40.766953,-73.9817
12 Ave & W 40 St,12 Ave & W 40 St,5409,40.760876,-74.00278,40.760876,-74.00278
Broadway & W 41 St,Broadway & W 41 St,5316,40.755135,-73.98658,40.755135,-73.98658
Central Park West & W 72 St,Central Park West & W 72 St,5262,40.775795,-73.976204,40.775795,-73.976204
Norfolk St & Broome St,Henry St & Grand St,4883,40.717228,-73.98802,40.71421,-73.981094
West St & Chambers St,West St & Chambers St,4768,40.71755,-74.01322,40.71755,-74.01322
West Drive & Prospect Park West,West Drive & Prospect Park West,4643,40.661064,-73.979454,40.661064,-73.979454
West St & Chambers St,Pier 40 - Hudson River Park,4584,40.71755,-74.01322,40.727715,-74.0113
5 Ave & E 87 St,5 Ave & E 87 St,4571,40.782322,-73.95988,40.782322,-73.95988
Yankee Ferry Terminal,Soissons Landing,4556,40.687065,-74.016754,40.692318,-74.01486
North Moore St & Greenwich St,Vesey St & Church St,4523,40.720196,-74.0103,40.71222,-74.010475
W 21 St & 6 Ave,W 22 St & 10 Ave,4410,40.74174,-73.994156,40.746918,-74.00452
Central Park West & W 68 St,Central Park West & W 68 St,4328,40.773407,-73.97783,40.773407,-73.97783
Henry St & Grand St,Norfolk St & Broome St,4324,40.71421,-73.981094,40.717228,-73.98802
Soissons Landing,Yankee Ferry Terminal,4299,40.692318,-74.01486,40.687065,-74.016754
Central Park North & Adam Clayton Powell Blvd,Central Park North & Adam Clayton Powell Blvd,4260,40.799484,-73.95561,40.799484,-73.95561
Pier 40 - Hudson River Park,West St & Chambers St,4222,40.727715,-74.0113,40.71755,-74.01322
Roosevelt Island Tramway,Motorgate,4215,40.757282,-73.9536,40.76391,-73.94772
Motorgate,Roosevelt Island Tramway,4194,40.76391,-73.94772,40.757282,-73.9536
N 6 St & Bedford Ave,S 4 St & Wythe Ave,4175,40.717453,-73.95851,40.71286,-73.965904
W 22 St & 10 Ave,W 22 St & 8 Ave,4114,40.746918,-74.00452,40.74475,-73.99915
Centre St & Chambers St,Centre St & Chambers St,4051,40.712734,-74.00461,40.712734,-74.00461
1 Ave & E 68 St,1 Ave & E 78 St,3906,40.765007,-73.95818,40.771404,-73.953514
Central Park S & 6 Ave,5 Ave & E 87 St,3878,40.76591,-73.97634,40.782322,-73.95988
12 Ave & W 40 St,West St & Chambers St,3858,40.760876,-74.00278,40.71755,-74.01322
McGuinness Blvd & Eagle St,Vernon Blvd & 50 Ave,3808,40.73555,-73.95284,40.74233,-73.95412
E 72 St & York Ave,2 Ave & E 72 St,3772,40.76664,-73.95348,40.76876,-73.958405
Amsterdam Ave & W 73 St,Amsterdam Ave & W 79 St,3735,40.779667,-73.980934,40.78294,-73.97865
1 Ave & E 78 St,E 77 St & 3 Ave,3713,40.771404,-73.953514,40.773144,-73.958565
1 Ave & E 78 St,2 Ave & E 72 St,3693,40.771404,-73.953514,40.76876,-73.958405
West St & Chambers St,10 Ave & W 14 St,3692,40.71755,-74.01322,40.74198,-74.008316
Vesey St & Church St,North Moore St & Greenwich St,3618,40.71222,-74.010475,40.720196,-74.0103
10 Ave & W 14 St,West St & Chambers St,3601,40.74198,-74.008316,40.71755,-74.01322
Little West St & 1 Pl,West St & Liberty St,3597,40.705692,-74.01678,40.711445,-74.01485
E 2 St & Avenue C,E 1 St & 1 Ave,3580,40.720875,-73.98086,40.723354,-73.98865
Clinton St & Grand St,Henry St & Grand St,3524,40.715595,-73.98703,40.71421,-73.981094
12 Ave & W 40 St,10 Ave & W 14 St,3513,40.760876,-74.00278,40.74198,-74.008316
S 4 St & Wythe Ave,N 6 St & Bedford Ave,3482,40.71286,-73.965904,40.717453,-73.95851
Central Park S & 6 Ave,7 Ave & Central Park South,3471,40.76591,-73.97634,40.76674,-73.97907
W 22 St & 10 Ave,W 21 St & 6 Ave,3438,40.746918,-74.00452,40.74174,-73.994156
Southpoint Park,Roosevelt Island Tramway,3427,40.753704,-73.95865,40.757282,-73.9536
Milton St & Franklin St,Kent Ave & N 7 St,3343,40.72906,-73.95779,40.720367,-73.96165
W 42 St & 8 Ave,11 Ave & W 41 St,3331,40.75757,-73.99098,40.7603,-73.99884
1 Ave & E 62 St,1 Ave & E 78 St,3325,40.761227,-73.96094,40.771404,-73.953514
Flatbush Ave & Ocean Ave,Flatbush Ave & Ocean Ave,3319,40.66366,-73.96301,40.66366,-73.96301
11 Ave & W 41 St,W 34 St & 11 Ave,3316,40.7603,-73.99884,40.755943,-74.00211
